"","state","no2","o3","so2","co"
"1","Alabama",21.232245681382,36.8451695457454,7.00511508951407,3.85028790786948
"2","Alaska",19.5531914893617,17.725430597771,14.4873353596758,6.52834008097166
"3","Arizona",36.1069873997709,39.0040950744559,4.21348604151754,9.1910228151032
"4","Arkansas",21.486471187592,35.0356617230839,2.97577267066682,5.92991394927536
"5","California",24.1102384481603,35.7226725355902,3.59827847012129,7.405668957856
"6","Colorado",35.9588780266,34.6735819029214,10.6055233549267,7.72420454545454
"7","Connecticut",18.4573547589617,37.1494003273979,3.22192531231211,3.5864073777065
"8","Country Of Mexico",37.9890595413423,31.9577109194193,6.56583929322676,17.7005246589717
"9","Delaware",21.5410468319559,35.4,2.8198347107438,3.83938393839384
"10","District Of Columbia",30.602895392279,33.7812889165629,12.8879558354716,11.6051054556775
"11","Florida",16.3844432440775,36.000077166448,2.87699668184273,5.92159283840099
"12","Georgia",24.1432271432271,34.4869204869205,1.79383579383579,5.27305699481865
"13","Hawaii",8.65989347011245,26.674689287828,2.28464566929134,4.4831327678043
"14","Idaho",23.3413566739606,34.9857768052516,0.823144104803493,2.87636761487965
"15","Illinois",28.3815148854657,31.9924175911884,13.1353152434158,6.2584363781412
"16","Indiana",24.0577337354589,41.5899755852362,14.6626938541068,5.3954891538572
"17","Iowa",14.2912185686654,33.8370599613153,1.39608631758063,3.04309811203962
"18","Kansas",21.5799237611182,34.3646759847522,9.39306358381503,6.54177520808183
"19","Kentucky",25.1476235870897,43.0107585455536,18.5518790849673,3.17820704666032
"20","Louisiana",26.7412247633409,34.018765183882,11.3164684201709,6.31180363575438
"21","Maine",11.2854844854591,28.0690428819371,2.98781210325857,3.08747565416208
"22","Maryland",19.7784008836775,36.8611606763531,7.06328576282705,4.37025397095048
"23","Massachusetts",29.7783237530132,25.9130354162804,8.00797182054134,5.53995920637864
"24","Michigan",31.8398924468345,40.0171107308726,17.9709117575165,6.46995603321935
"25","Minnesota",15.8667790893761,34.0786958965711,1.15295416896742,3.44780376497433
"26","Missouri",29.1706947112954,41.9109111133583,18.319514661274,7.41372687759022
"27","Nevada",23.9467931532275,40.5095896061043,1.11012579913384,3.65868757738341
"28","New Hampshire",14.6610716591349,34.543361308371,7.64299548095546,5.0731812311666
"29","New Jersey",31.6730510249888,34.3090303755798,11.1279922202274,6.43733632622522
"30","New Mexico",24.4791023842917,41.3113604488079,1.17912118667786,3.48232323232323
"31","New York",30.5803339622909,31.785534921333,14.0615903997277,5.65780438668672
"32","North Carolina",22.4025211442116,44.3819425739374,8.60572105801864,5.62831286360698
"33","North Dakota",12.4273007805409,29.9785805046288,0.412416046469414,2.05335753176044
"34","Ohio",22.3369669486352,31.7112583936513,15.3710872787514,4.00994243851387
"35","Oklahoma",14.9026147588611,41.0233004067403,3.73829009228626,2.48829237115798
"36","Oregon",17.2467356282856,25.167881973885,2.03526619192947,5.32372392742072
"37","Pennsylvania",23.8140842386125,39.712682379349,15.8019335935434,3.98675671956216
"38","Rhode Island",14.3722327640734,37.634724857685,1.66824794433903,3.1620253164557
"39","South Carolina",4.93635250917993,37.2564259485924,4.75887392900857,1.6046511627907
"40","South Dakota",11.0639730639731,34.3896103896104,0.669312169312169,2.38594802694899
"41","Tennessee",3.55152345087299,45.3618623758987,2.32865457035262,4.87868403015764
"42","Texas",23.5655476917083,35.8047691708331,4.67464425370349,4.45037994414496
"43","Utah",23.4868481772035,42.2939547761883,1.15182279649285,5.41347485002307
"44","Virginia",20.2638515183131,38.057163252979,9.85305584536818,5.3598330954211
"45","Washington",21.6943866943867,27.7484407484407,1.94605809128631,2.71933471933472
"46","Wisconsin",26.1662269129288,27.3218997361478,8.27968337730871,5.24802110817942
"47","Wyoming",9.79613733905579,41.4477314530963,1.8180564071122,1.48604722477768
